"179161458793927_1124369070939823","With ASUS #ZenBeam E1 you don't have to bend until you break. Just connect, turn it on and adjust focus ring for up to 120-inch projections when placed just 3.7m away.","Timeline Photos","photo","https://www.facebook.com/ASUS/photos/a.186749591368447.43127.179161458793927/1124369070939823/?type=3","2016-07-23","55","3","4","53","0","1","0","1","0","1","1","0","0","0","4","1","0","0","0","0","3","1","3","0","0","0","3","0","5","0","0","0","0","2","0","8","0","0","1","3","0","0","0","0","1","4","0","0","0","1.625","4","11.4163","13.0913","14.5926","0"
"179161458793927_1106039106106153","Match your #ASUS #ZenWatch 2 to your style with these fashionably - designed watch faces: #adidasY3 #VivienneTam #MelissaJoyManning #Mango #TedBaker","ASUS","link","http://play.google.com/store/apps/details?id=com.mediamonks.watchface.mjm","2016-07-22","66","1","1","63","3","0","0","0","0","0","2","1","0","0","1","0","0","0","0","0","3","0","7","0","0","0","2","0","1","0","0","0","0","1","0","2","0","0","1","0","1","0","0","0","0","1","0","4.76633","8","0.875","2","4.48537","2.72678","4.65333","-0.95136"
"179161458793927_1117319434978120","A WORK OF ART. Where metal meets glass meets nature. The new ZenFone 3 is a true testament of craftsmanship â€“ a beauty with a thin width of 7.69mm. #Z3N #ZenFone #IncredibleIsNow","Timeline Photos","photo","https://www.facebook.com/ASUS/photos/a.186749591368447.43127.179161458793927/1117319434978120/?type=3","2016-07-22","15175","41","75","14946","137","88","2","1","2","0","2","5","0","0","4","3","0","0","0","0","8","0","6","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","1","3","0","0","0","1","4","0","4.9327","8","-0.5","2","5.80222","5.53668","7.82558","-1.5856"
"179161458793927_1117318851644845","FAST AND FURIOUS. Life waits for no one, so you have to live in the now. Which is why, ZenFone 3 Deluxe comes with a monstrous 6GB RAM. Can you tame it? #Z3N #ZenFone #IncredibleIsNow","Timeline Photos","photo","https://www.facebook.com/ASUS/photos/a.186749591368447.43127.179161458793927/1117318851644845/?type=3","2016-07-21","21786","92","162","21341","199","233","7","4","2","1","1","3","0","0","3","2","0","0","0","1","2","0","8","0","0","0","3","0","4","0","0","0","0","1","0","5","0","0","0","1","3","1","0","0","1","0","-1","4.9327","-8","-1.125","-1","20.055","20.8718","18.2196","-1.5856"
"179161458793927_1119259498117447","Unleash the full potential of your #ZenFone3 with its best companionâ€”ZenUI 3.0! Take a look at our brand new visual design, must-have essentials, and fun-filled creativity and social tools!","Sneak Peek of ZenUI 3.0 | ZenUI","link","http://www.zenui.com/zenui3/?utm_source=FB_Global&utm_medium=Banner&utm_campaign=ZenUI3","2016-07-21","119","2","11","117","2","0","0","0","0","2","2","2","0","0","3","6","0","1","0","0","7","2","1","0","0","0","3","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","3","0","8","-0.25","4","19.0841","26.5563","26.998","0"
"179161458793927_1121786791198051","#ZenFone 3 Deluxe is as determined, desirable and as distinguished for those able to acquire it. #ZenFone3 Deluxe is your next ambition.","All Metal. Pure Beauty - ZenFone 3 Deluxe | ASUS","video","https://www.facebook.com/ASUS/videos/1121786791198051/","2016-07-20","1194","73","227","1070","58","63","1","2","0","1","2","1","0","0","3","3","0","0","0","0","3","0","2","0","0","0","2","0","0","0","0","0","0","1","0","5","0","0","2","0","2","0","0","0","0","0","2","4.9327","16","1","5","19.4617","21.2536","23.211","-1.5856"
"179161458793927_1121779674532096","A curved, diamond-cut wonder with an all-metal unibody that seems impossible â€” that's #ZenFone 3 Deluxe.","The Pure Beauty - ZenFone 3 Deluxe | ASUS","video","https://www.facebook.com/ASUS/videos/1121779674532096/","2016-07-19","1878","47","140","1758","53","58","4","4","1","0","1","3","0","0","1","4","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","1","0","0","0","3","0","4.9327","0","-0.125","1","2.69898","3.10334","2.23152","-1.5856"
"179161458793927_1117318668311530","TUNE IN. Listen to the incredible sound bites of life with ZenFone 3's High-Res 5-magnet speaker. Clear, dynamic and immersive. Life has never been so alive. #Z3N #ZenFone #IncredibleIsNow","Timeline Photos","photo","https://www.facebook.com/ASUS/photos/a.186749591368447.43127.179161458793927/1117318668311530/?type=3","2016-07-19","33520","48","82","33218","156","136","6","2","3","1","0","1","0","0","3","6","0","0","0","0","4","0","8","0","0","1","0","0","2","0","0","0","0","1","0","4","0","0","1","0","2","0","0","0","0","0","2","0","16","0.875","4","16.478","15.3523","16.7265","0"
"179161458793927_1121934184516645","Show Us Your Lifestyle With #VivoStick - Winners Announcement",,"status",,"2016-07-19","53","8","4","49","3","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","1","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-3","0","0","0","0","0","0","0","0","0"
"179161458793927_1121919111184819",,"ASUS's cover photo","photo","https://www.facebook.com/ASUS/photos/a.343449412365130.79638.179161458793927/1121919087851488/?type=3","2016-07-19","322","7","15","307","11","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
