,Word,ExpectedRate
0,.22 caliber/a,5.0
1,100th/a,3.48992156849
2,10th/a,3.40863568174
3,11th/a,3.40668669422
4,12th/a,3.48387783499
5,13th/a,3.25530002067
6,145th/a,4.0
7,14th/a,3.4283297737
8,150th/a,5.0
9,15th/a,3.54510635334
10,16th/a,3.5473661376
11,17th/a,3.61337249556
12,18th/a,3.5583901339
13,19th/a,3.68681100856
14,2-dimensional/a,1.0
15,200th/a,2.0
16,20th/a,3.52463069699
17,21st/a,3.19081317691
18,22nd/a,3.66558454706
19,23rd/a,4.03462937058
20,24th/a,3.65632013708
21,25th/a,3.57663035388
22,26th/a,3.69849175702
23,27th/a,3.46316905941
24,28th/a,3.72811764571
25,29th/a,3.93362578062
26,2d/a,2.09245834289
27,2nd/a,3.10990204504
28,3-dimensional/a,3.26032543543
29,30th/a,3.53332768778
30,31st/a,3.00758254332
31,32nd/a,3.42058737001
32,33rd/a,3.90460319496
33,34th/a,3.76625418206
34,35th/a,3.74630885961
35,36th/a,3.94223943418
36,37th/a,4.50227702726
37,38th/a,4.47319165409
38,39th/a,3.75065373392
39,3rd/a,3.5517404719
40,4-dimensional/a,5.0
41,400th/a,4.02911590671
42,40th/a,4.18076708676
43,41st/a,3.93801746808
44,43rd/a,4.80341727916
45,44th/a,4.60665324269
46,45th/a,3.87521608642
47,46th/a,4.61118106156
48,47th/a,4.26809109274
49,48th/a,3.89809344139
50,49th/a,4.25915674772
51,4th/a,3.26493626588
52,50th/a,4.25307749626
53,55th/a,4.24636905427
54,5th/a,3.7301009615
55,60th/a,3.44309121078
56,64th/a,4.0
57,65th/a,5.0
58,6th/a,3.32280752326
59,70th/a,4.71550707449
60,75th/a,3.72121705308
61,7th/a,3.41688286303
62,80th/a,3.90181271266
63,8th/a,3.49914094115
64,90th/a,5.0
65,95th/a,5.0
66,9th/a,4.47768537989
67,a bit/r,3.45051366871
68,a cappella/a,5.0
69,a cappella/r,5.0
70,a couple of/a,3.36702216296
71,a few/a,3.2402678737
72,a fortiori/r,1.0
73,a good deal/r,3.41197911178
74,a great deal/r,3.53036838023
75,a hundred times/r,3.05293229914
76,a la carte/a,3.30345571905
77,a la carte/r,3.30345571905
78,a la mode/a,5.0
79,a la mode/r,5.0
80,a little/r,3.46584469553
81,a lot/r,3.27388583791
82,a million times/r,3.64759998418
83,a posteriori/a,2.0
84,a posteriori/r,2.0
85,a priori/a,2.80960271546
86,a priori/r,2.80960271546
87,a trifle/r,2.81523641577
88,a-ok/a,2.0
89,a.m./r,3.04057335602
90,aback/r,3.47158626429
91,abandoned/a,3.15964479533
92,abashed/a,5.0
93,abbreviated/a,2.64758633625
94,abdominal/a,4.29756475352
95,aberrant/a,3.54132184315
96,abhorrent/a,3.4740180826
97,abject/a,4.0
98,abjectly/r,2.55498691407
99,ablaze/a,5.0
100,able-bodied/a,3.37110437324
101,able/a,3.36519950404
102,ably/r,3.66488085253
103,abnormal/a,3.07538839423
104,abnormally/r,2.12584131952
105,aboard/r,5.0
106,abominable/a,1.94495974794
107,abominably/r,2.0
108,aboriginal/a,5.0
109,abortive/a,3.67927482675
110,about/a,5.0
111,about/r,3.09689792902
112,above all/r,3.39960980807
113,above-mentioned/a,2.42395922643
114,above/a,3.14555480758
115,above/r,3.62757449798
116,abrasive/a,2.43877403127
117,abreast/a,3.26032543543
118,abreast/r,4.38603467358
119,abridged/a,3.13122593743
120,abroad/r,3.28447737914
121,abrupt/a,2.92128985259
122,abruptly/r,2.49220916304
123,absent/a,2.82847445331
124,absentmindedly/r,3.4740180826
125,absolute/a,3.04500653603
126,absolutely/r,3.26191981094
127,absorbent/a,4.03433294245
128,absorbing/a,4.21948194385
129,abstract/a,3.20938976124
130,abstracted/a,5.0
131,abstractly/r,3.0
132,abstruse/a,4.55703465568
133,absurd/a,2.26425750608
134,absurdly/r,2.94819677077
135,abundant/a,3.5576000268
136,abundantly/r,2.74969869454
137,abused/a,4.04332159156
138,abusive/a,2.37500098266
139,abuzz/a,3.49500288841
140,abysmal/a,2.39734558529
141,abysmally/r,5.0
142,academic/a,3.286664095
143,academically/r,3.11149065676
144,accelerated/a,3.54123448058
145,accented/a,2.0
146,acceptable/a,2.60128703387
147,acceptably/r,3.65570755712
148,accepted/a,3.15506404818
149,accessible/a,3.67465856172
150,accessory/a,4.25887999907
151,accidental/a,2.79205755349
152,accidentally/r,3.12667736567
153,accompanying/a,3.58161349238
154,accomplished/a,3.08979508128
155,accordingly/r,2.45216307253
156,accountable/a,2.71437142329
157,accredited/a,4.55703465568
158,accurate/a,3.05363441788
159,accurately/r,3.13669447703
160,accusative/a,3.0
161,accusatory/a,3.67927482675
162,accustomed/a,3.94223489133
163,acerbic/a,5.0
164,achievable/a,4.48536764095
165,achy/a,5.0
166,acid/a,3.88939077465
167,acidic/a,5.0
168,acidulous/a,5.0
169,acknowledged/a,3.23781594529
170,acoustic/a,2.7972879477
171,acoustical/a,4.0
172,acquired/a,5.0
173,acrimonious/a,1.72522748958
174,acrobatic/a,5.0
175,across the board/r,4.01315552831
176,across the country/r,3.29086950079
177,across the nation/r,3.62179249323
178,across-the-board/a,4.0
179,across/r,2.06446524902
180,acting/a,1.0
181,actionable/a,3.17045346558
182,active/a,3.29201302053
183,actively/r,3.32368780036
184,actual/a,2.76908979203
185,actually/r,2.87466670021
186,acute/a,3.66622742635
187,acutely/r,2.63737201927
188,ad hoc/a,3.38319183499
189,ad hoc/r,3.38319183499
190,ad hominem/a,2.91077109654
191,ad infinitum/r,3.85192371615
192,ad lib/r,3.55659194263
193,ad libitum/r,5.0
194,ad nauseam/r,2.51752394291
195,ad val/r,2.64529826229
196,adamant/a,2.90860374168
197,adamantly/r,2.85294063263
198,adaptable/a,3.71734296936
199,adaptive/a,3.5082261903
200,addictive/a,3.47191987139
201,additional/a,3.03749755261
202,additionally/r,2.57513269035
203,additive/a,2.47074590091
204,addled/a,2.0
205,addressable/a,3.0
206,adept/a,3.43639661097
207,adequate to/a,3.24726573755
208,adequate/a,3.41713605309
209,adequately/r,3.03079827446
210,adherent/a,3.37110437324
211,adhesive/a,2.50531950221
212,adiabatic/a,5.0
213,adjacent/a,3.16321297573
214,adjectival/a,4.0
215,adjective/a,2.62721741243
216,adjustable/a,3.60475305036
217,adjusted/a,2.53276986049
218,administrative/a,2.59305818493
219,administratively/r,5.0
220,admirable/a,3.46500507944
221,admirably/r,3.65800548232
222,admiringly/r,5.0
223,admittedly/r,2.78447346986
224,adolescent/a,3.15822936546
225,adoptive/a,3.27385118846
226,adorable/a,3.90790301679
227,adorably/r,5.0
228,adrenal/a,2.72678161036
229,adrift/a,5.0
230,adroit/a,5.0
231,adroitly/r,4.45603156588
232,adulatory/a,2.0
233,adult/a,3.44590579211
234,adulterous/a,2.19695315671
235,advanced/a,3.73019001328
236,advantageous/a,2.97703754201
237,adventuresome/a,4.21948194385
238,adventurous/a,3.59062948246
239,adverse/a,3.14824962584
240,adversely/r,2.9739204708
241,advertised/a,2.65725664981
242,advisable/a,3.55909822971
243,advisory/a,5.0
